dataset,synthetic,validation,stage,stage_order,stage_label,uses_imagery,model,mae,rmse,r2,bias,relative_mae,n,spearman_within,spearman_pooled,fold_mae_mean,fold_mae_sd,n_folds,coverage,interval_width,coverage_min_group,interval_calibration,seconds,group_mae,delta_mae_vs_mean,timing_passes_mean,delta_mae_vs_records,pct_mae_reduction_vs_records,delta_mae_vs_best_records,best_records_model,cqr_coverage,cqr_width,delta_mae_ci_low,delta_mae_ci_high,group_wins,n_groups,timing_share_with_imagery,timing_acq_date_min,timing_acq_date_median,timing_acq_date_max,timing_dap_min,timing_dap_median,timing_dap_max,timing_lead_days_median,timing_lead_days_min,timing_harvest_basis
SYNTHETIC-fixture,True,site,records,0,Baseline A: training mean,False,mean,81.6917,91.9344,-1.0512,0.6544,0.7358,1479,,-0.8751,81.2701,34.8045,3,0.6856,254.1485,0.1151,site,0.0200,"{""Ames-2022"": 34.2172, ""Crawfordsville-2022"": 92.2845, ""Lincoln-2022"": 117.3084}",0.0000,0.0000,,,,,,,,,,,,,,,,,,,,
SYNTHETIC-fixture,True,site,records,0,Records only,False,ridge,93.8788,97.7906,-1.3208,-29.0308,0.8455,1479,0.2312,-0.4461,93.8653,1.3511,3,0.7674,256.6649,0.3631,site,0.1300,"{""Ames-2022"": 94.449, ""Crawfordsville-2022"": 91.9978, ""Lincoln-2022"": 95.149}",-12.1870,0.0000,0.0000,0.0000,0.0000,ridge,,,,,,,,,,,,,,,,
SYNTHETIC-fixture,True,site,records,0,Records only,False,random_forest,100.4286,106.4228,-1.7486,-31.7505,0.9045,1479,-0.0556,-0.5584,100.4204,6.0597,3,0.7268,265.9412,0.3631,site,4.1400,"{""Ames-2022"": 92.863, ""Crawfordsville-2022"": 107.6981, ""Lincoln-2022"": 100.7002}",-18.7368,0.0000,0.0000,0.0000,-6.5498,ridge,,,,,,,,,,,,,,,,
SYNTHETIC-fixture,True,site,records,0,Records only,False,hist_gradient_boosting,98.8066,105.1713,-1.6844,-34.5321,0.8899,1479,0.0024,-0.5371,98.8540,5.6048,3,0.7525,264.5604,0.4683,site,1.7500,"{""Ames-2022"": 95.547, ""Crawfordsville-2022"": 106.7459, ""Lincoln-2022"": 94.269}",-17.1149,0.0000,0.0000,0.0000,-4.9279,ridge,,,,,,,,,,,,,,,,
SYNTHETIC-fixture,True,site,records,0,Records only,False,catboost,99.1781,105.4397,-1.6981,-34.3224,0.8933,1479,-0.0390,-0.5424,99.2198,5.6940,3,0.7566,264.0991,0.5020,site,1.5500,"{""Ames-2022"": 95.2678, ""Crawfordsville-2022"": 107.2719, ""Lincoln-2022"": 95.1198}",-17.4864,0.0000,0.0000,0.0000,-5.2993,ridge,0.7221,268.3605,,,,,,,,,,,,,,
SYNTHETIC-fixture,True,site,tp1,1,+ TP1,True,ridge,381.8336,562.8360,-75.8795,-318.2141,3.4391,1479,0.2840,-0.7796,384.7896,412.0090,3,0.4462,252.0633,0.0020,site,0.1700,"{""Ames-2022"": 93.564, ""Crawfordsville-2022"": 967.4582, ""Lincoln-2022"": 93.3464}",-300.1419,0.9824,-287.9548,-306.7305,-287.9548,ridge,,,-289.7016,-285.7381,2.0000,3.0000,0.9824,2022-07-10,2022-07-15,2022-07-18,54.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp1,1,+ TP1,True,random_forest,107.3713,112.4277,-2.0676,-41.2548,0.9671,1479,0.1188,-0.5690,107.4767,15.5537,3,0.6619,256.6901,0.3710,site,4.3400,"{""Ames-2022"": 95.9555, ""Crawfordsville-2022"": 129.4645, ""Lincoln-2022"": 97.0101}",-25.6796,0.9824,-6.9427,-6.9131,-13.4925,ridge,,,-7.9650,-6.0260,1.0000,3.0000,0.9824,2022-07-10,2022-07-15,2022-07-18,54.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp1,1,+ TP1,True,hist_gradient_boosting,124.7675,135.9603,-3.4861,-60.8978,1.1237,1479,0.0908,-0.7646,125.0879,42.1486,3,0.5044,263.3843,0.1107,site,5.1100,"{""Ames-2022"": 96.8833, ""Crawfordsville-2022"": 184.6668, ""Lincoln-2022"": 93.7134}",-43.0758,0.9824,-25.9609,-26.2744,-30.8888,ridge,,,-27.1565,-24.8213,1.0000,3.0000,0.9824,2022-07-10,2022-07-15,2022-07-18,54.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp1,1,+ TP1,True,catboost,115.8179,123.4801,-2.7003,-50.0695,1.0431,1479,0.0432,-0.7310,116.0153,28.4946,3,0.5551,259.8701,0.2561,site,9.1400,"{""Ames-2022"": 95.2691, ""Crawfordsville-2022"": 156.3067, ""Lincoln-2022"": 96.4701}",-34.1261,0.9824,-16.6398,-16.7777,-21.9391,ridge,0.6971,268.0751,-17.5956,-15.7001,0.0000,3.0000,0.9824,2022-07-10,2022-07-15,2022-07-18,54.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp2,2,+ TP1-TP2,True,ridge,102.7805,121.2822,-2.5698,17.6439,0.9257,1479,0.3371,-0.4383,101.9900,58.8623,3,0.6714,353.1584,0.0357,site,0.2400,"{""Ames-2022"": 100.2169, ""Crawfordsville-2022"": 30.8016, ""Lincoln-2022"": 174.9514}",-21.0887,1.9723,-8.9017,-9.4821,-8.9017,ridge,,,-9.7188,-8.0879,1.0000,3.0000,0.9899,2022-07-20,2022-07-23,2022-08-06,62.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp2,2,+ TP1-TP2,True,random_forest,64.6947,73.6040,-0.3148,-0.4827,0.5827,1479,0.0033,-0.0704,64.3829,20.2059,3,0.7762,246.6736,0.3433,site,4.6900,"{""Ames-2022"": 54.3332, ""Crawfordsville-2022"": 46.2416, ""Lincoln-2022"": 92.5739}",16.9971,1.9723,35.7339,35.5814,29.1841,ridge,,,34.7102,36.7066,3.0000,3.0000,0.9899,2022-07-20,2022-07-23,2022-08-06,62.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp2,2,+ TP1-TP2,True,hist_gradient_boosting,73.2284,82.2585,-0.6421,-6.1636,0.6595,1479,0.0302,-0.0359,72.9799,22.9670,3,0.7735,251.7731,0.3353,site,5.5300,"{""Ames-2022"": 80.7151, ""Crawfordsville-2022"": 41.793, ""Lincoln-2022"": 96.4318}",8.4633,1.9723,25.5782,25.8872,20.6504,ridge,,,24.5546,26.6010,2.0000,3.0000,0.9899,2022-07-20,2022-07-23,2022-08-06,62.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
SYNTHETIC-fixture,True,site,tp2,2,+ TP1-TP2,True,catboost,60.4725,70.0004,-0.1892,2.9930,0.5447,1479,-0.0174,0.0413,60.1391,21.3325,3,0.8039,251.0561,0.4246,site,11.3300,"{""Ames-2022"": 47.6053, ""Crawfordsville-2022"": 42.6407, ""Lincoln-2022"": 90.1713}",21.2193,1.9723,38.7056,39.0264,33.4063,ridge,0.7634,248.1475,37.6004,39.7488,3.0000,3.0000,0.9899,2022-07-20,2022-07-23,2022-08-06,62.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
