validation,stage,stage_order,stage_label,ranker,method,budget,recall,recall_unit_mean,precision,random_recall,oracle_recall,lift,skill,n_units,n_poor,n_selected,hits
site,records,0,Records only,forecast,forecast,0.1000,0.1324,0.1325,0.3311,0.1001,0.4000,1.3234,0.1079,3,370,148,49
site,records,0,Records only,forecast,forecast,0.2000,0.2270,0.2266,0.2838,0.2001,0.8000,1.1344,0.0448,3,370,296,84
site,records,0,Records only,forecast,forecast,0.2500,0.2838,0.2832,0.2838,0.2502,1.0000,1.1344,0.0448,3,370,370,105
site,records,0,Records only,lower_bound,lower_bound,0.1000,0.1162,0.1166,0.2905,0.1001,0.4000,1.1614,0.0538,3,370,148,43
site,records,0,Records only,lower_bound,lower_bound,0.2000,0.2216,0.2222,0.2770,0.2001,0.8000,1.1074,0.0358,3,370,296,82
site,records,0,Records only,lower_bound,lower_bound,0.2500,0.2946,0.2951,0.2946,0.2502,1.0000,1.1776,0.0592,3,370,370,109
site,records,0,Records only,relative_forecast,relative_forecast,0.1000,0.1432,0.1434,0.3581,0.1001,0.4000,1.4315,0.1440,3,370,148,53
site,records,0,Records only,relative_forecast,relative_forecast,0.2000,0.2297,0.2301,0.2872,0.2001,0.8000,1.1479,0.0493,3,370,296,85
site,records,0,Records only,relative_forecast,relative_forecast,0.2500,0.2703,0.2705,0.2703,0.2502,1.0000,1.0804,0.0268,3,370,370,100
site,records,0,Records only,records_only,relative_forecast,0.1000,0.1432,0.1434,0.3581,0.1001,0.4000,1.4315,0.1440,3,370,148,53
site,records,0,Records only,records_only,relative_forecast,0.2000,0.2297,0.2301,0.2872,0.2001,0.8000,1.1479,0.0493,3,370,296,85
site,records,0,Records only,records_only,relative_forecast,0.2500,0.2703,0.2705,0.2703,0.2502,1.0000,1.0804,0.0268,3,370,370,100
site,tp1,1,+ TP1,forecast,forecast,0.1000,0.1324,0.1324,0.3311,0.1001,0.4000,1.3234,0.1079,3,370,148,49
site,tp1,1,+ TP1,forecast,forecast,0.2000,0.2486,0.2486,0.3108,0.2001,0.8000,1.2424,0.0809,3,370,296,92
site,tp1,1,+ TP1,forecast,forecast,0.2500,0.2919,0.2918,0.2919,0.2502,1.0000,1.1668,0.0556,3,370,370,108
site,tp1,1,+ TP1,lower_bound,lower_bound,0.1000,0.1486,0.1485,0.3716,0.1001,0.4000,1.4855,0.1620,3,370,148,55
site,tp1,1,+ TP1,lower_bound,lower_bound,0.2000,0.2568,0.2570,0.3209,0.2001,0.8000,1.2829,0.0944,3,370,296,95
site,tp1,1,+ TP1,lower_bound,lower_bound,0.2500,0.3162,0.3166,0.3162,0.2502,1.0000,1.2640,0.0881,3,370,370,117
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.1000,0.1405,0.1404,0.3514,0.1001,0.4000,1.4045,0.1349,3,370,148,52
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.2000,0.2649,0.2648,0.3311,0.2001,0.8000,1.3234,0.1079,3,370,296,98
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.2500,0.3162,0.3161,0.3162,0.2502,1.0000,1.2640,0.0881,3,370,370,117
site,tp1,1,+ TP1,records_only,relative_forecast,0.1000,0.1432,0.1434,0.3581,0.1001,0.4000,1.4315,0.1440,3,370,148,53
site,tp1,1,+ TP1,records_only,relative_forecast,0.2000,0.2297,0.2301,0.2872,0.2001,0.8000,1.1479,0.0493,3,370,296,85
site,tp1,1,+ TP1,records_only,relative_forecast,0.2500,0.2703,0.2705,0.2703,0.2502,1.0000,1.0804,0.0268,3,370,370,100
site,tp1,1,+ TP1,naive_imagery,naive_imagery,0.1000,0.1514,0.1508,0.3784,0.1001,0.4000,1.5125,0.1710,3,370,148,56
site,tp1,1,+ TP1,naive_imagery,naive_imagery,0.2000,0.2649,0.2642,0.3311,0.2001,0.8000,1.3234,0.1079,3,370,296,98
site,tp1,1,+ TP1,naive_imagery,naive_imagery,0.2500,0.3378,0.3369,0.3378,0.2502,1.0000,1.3504,0.1169,3,370,370,125
site,tp2,2,+ TP1-TP2,forecast,forecast,0.1000,0.1432,0.1427,0.3581,0.1001,0.4000,1.4315,0.1440,3,370,148,53
site,tp2,2,+ TP1-TP2,forecast,forecast,0.2000,0.2432,0.2428,0.3041,0.2001,0.8000,1.2154,0.0719,3,370,296,90
site,tp2,2,+ TP1-TP2,forecast,forecast,0.2500,0.2865,0.2860,0.2865,0.2502,1.0000,1.1452,0.0484,3,370,370,106
site,tp2,2,+ TP1-TP2,lower_bound,lower_bound,0.1000,0.1270,0.1269,0.3176,0.1001,0.4000,1.2694,0.0899,3,370,148,47
site,tp2,2,+ TP1-TP2,lower_bound,lower_bound,0.2000,0.2622,0.2621,0.3277,0.2001,0.8000,1.3099,0.1034,3,370,296,97
site,tp2,2,+ TP1-TP2,lower_bound,lower_bound,0.2500,0.3000,0.3000,0.3000,0.2502,1.0000,1.1992,0.0665,3,370,370,111
site,tp2,2,+ TP1-TP2,relative_forecast,relative_forecast,0.1000,0.1432,0.1427,0.3581,0.1001,0.4000,1.4315,0.1440,3,370,148,53
site,tp2,2,+ TP1-TP2,relative_forecast,relative_forecast,0.2000,0.2405,0.2400,0.3007,0.2001,0.8000,1.2019,0.0674,3,370,296,89
site,tp2,2,+ TP1-TP2,relative_forecast,relative_forecast,0.2500,0.3027,0.3020,0.3027,0.2502,1.0000,1.2100,0.0701,3,370,370,112
site,tp2,2,+ TP1-TP2,records_only,relative_forecast,0.1000,0.1432,0.1434,0.3581,0.1001,0.4000,1.4315,0.1440,3,370,148,53
site,tp2,2,+ TP1-TP2,records_only,relative_forecast,0.2000,0.2297,0.2301,0.2872,0.2001,0.8000,1.1479,0.0493,3,370,296,85
site,tp2,2,+ TP1-TP2,records_only,relative_forecast,0.2500,0.2703,0.2705,0.2703,0.2502,1.0000,1.0804,0.0268,3,370,370,100
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.1000,0.1730,0.1726,0.4324,0.1001,0.4000,1.7286,0.2431,3,370,148,64
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.2000,0.3054,0.3048,0.3818,0.2001,0.8000,1.5260,0.1755,3,370,296,113
site,tp2,2,+ TP1-TP2,naive_imagery,naive_imagery,0.2500,0.3676,0.3668,0.3676,0.2502,1.0000,1.4693,0.1566,3,370,370,136
site,tp3,3,+ TP1-TP3,forecast,forecast,0.1000,0.1189,0.1192,0.2973,0.1001,0.4000,1.1884,0.0629,3,370,148,44
site,tp3,3,+ TP1-TP3,forecast,forecast,0.2000,0.2405,0.2407,0.3007,0.2001,0.8000,1.2019,0.0674,3,370,296,89
site,tp3,3,+ TP1-TP3,forecast,forecast,0.2500,0.3000,0.3002,0.3000,0.2502,1.0000,1.1992,0.0665,3,370,370,111
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.1000,0.1514,0.1510,0.3784,0.1001,0.4000,1.5125,0.1710,3,370,148,56
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.2000,0.3000,0.3000,0.3750,0.2001,0.8000,1.4990,0.1665,3,370,296,111
site,tp3,3,+ TP1-TP3,lower_bound,lower_bound,0.2500,0.3568,0.3567,0.3568,0.2502,1.0000,1.4261,0.1421,3,370,370,132
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.1000,0.1405,0.1403,0.3514,0.1001,0.4000,1.4045,0.1349,3,370,148,52
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.2000,0.2703,0.2701,0.3378,0.2001,0.8000,1.3504,0.1169,3,370,296,100
site,tp3,3,+ TP1-TP3,relative_forecast,relative_forecast,0.2500,0.3135,0.3136,0.3135,0.2502,1.0000,1.2532,0.0845,3,370,370,116
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.1000,0.1432,0.1434,0.3581,0.1001,0.4000,1.4315,0.1440,3,370,148,53
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.2000,0.2297,0.2301,0.2872,0.2001,0.8000,1.1479,0.0493,3,370,296,85
site,tp3,3,+ TP1-TP3,records_only,relative_forecast,0.2500,0.2703,0.2705,0.2703,0.2502,1.0000,1.0804,0.0268,3,370,370,100
site,tp3,3,+ TP1-TP3,naive_imagery,naive_imagery,0.1000,0.1514,0.1520,0.3784,0.1001,0.4000,1.5125,0.1710,3,370,148,56
