stage,stage_label,site_year,morans_i,expected_i,p_value,k,n,neighbour_distance_m
records,Records only,Ames-2022,0.5016,-0.0021,0.0020,8,487,5.5000
records,Records only,Crawfordsville-2022,0.5710,-0.0021,0.0020,8,488,5.5000
records,Records only,Lincoln-2022,0.5873,-0.0020,0.0020,8,504,5.5000
tp1,+ TP1,Ames-2022,0.4430,-0.0021,0.0020,8,487,5.5000
tp1,+ TP1,Crawfordsville-2022,0.1851,-0.0021,0.0020,8,488,5.5000
tp1,+ TP1,Lincoln-2022,0.5302,-0.0020,0.0020,8,504,5.5000
tp2,+ TP1-TP2,Ames-2022,0.3336,-0.0021,0.0020,8,487,5.5000
tp2,+ TP1-TP2,Crawfordsville-2022,0.4129,-0.0021,0.0020,8,488,5.5000
tp2,+ TP1-TP2,Lincoln-2022,0.4863,-0.0020,0.0020,8,504,5.5000
tp3,+ TP1-TP3,Ames-2022,0.3605,-0.0021,0.0020,8,487,5.5000
tp3,+ TP1-TP3,Crawfordsville-2022,0.2459,-0.0021,0.0020,8,488,5.5000
tp3,+ TP1-TP3,Lincoln-2022,0.3929,-0.0020,0.0020,8,504,5.5000
tp4,+ TP1-TP4,Ames-2022,0.3156,-0.0021,0.0020,8,487,5.5000
tp4,+ TP1-TP4,Crawfordsville-2022,0.0871,-0.0021,0.0020,8,488,5.5000
tp4,+ TP1-TP4,Lincoln-2022,0.1891,-0.0020,0.0020,8,504,5.5000
tp5,+ TP1-TP5,Ames-2022,0.3581,-0.0021,0.0020,8,487,5.5000
tp5,+ TP1-TP5,Crawfordsville-2022,0.1320,-0.0021,0.0020,8,488,5.5000
tp5,+ TP1-TP5,Lincoln-2022,0.0922,-0.0020,0.0020,8,504,5.5000
tp6,+ TP1-TP6,Ames-2022,0.3449,-0.0021,0.0020,8,487,5.5000
tp6,+ TP1-TP6,Crawfordsville-2022,0.1023,-0.0021,0.0020,8,488,5.5000
tp6,+ TP1-TP6,Lincoln-2022,0.2056,-0.0020,0.0020,8,504,5.5000
