dataset,synthetic,validation,stage,stage_order,stage_label,uses_imagery,model,mae,rmse,r2,bias,relative_mae,n,spearman_within,spearman_pooled,fold_mae_mean,fold_mae_sd,n_folds,coverage,interval_width,coverage_min_group,interval_calibration,seconds,group_mae,delta_mae_vs_mean,timing_passes_mean,delta_mae_vs_records,pct_mae_reduction_vs_records,delta_mae_vs_best_records,best_records_model,cqr_coverage,cqr_width,delta_mae_ci_low,delta_mae_ci_high,group_wins,n_groups,timing_share_with_imagery,timing_acq_date_min,timing_acq_date_median,timing_acq_date_max,timing_dap_min,timing_dap_median,timing_dap_max,timing_lead_days_median,timing_lead_days_min,timing_harvest_basis
practice_3sites,False,site,records,0,Baseline A: training mean,False,mean,74.4607,83.5891,-1.0010,0.5953,0.6682,1479,,-0.8444,74.0839,29.2623,3,0.6903,231.3946,0.1250,site,0.0300,"{""Ames-2022"": 35.5994, ""Crawfordsville-2022"": 80.1491, ""Lincoln-2022"": 106.5032}",0.0000,0.0000,,,,,,,,,,,,,,,,,,,,
practice_3sites,False,site,records,0,Records only,False,ridge,423.1094,633.2656,-113.8473,-360.3570,3.7967,1479,0.3172,-0.7405,426.5022,471.6432,3,0.4043,323.3117,0.0000,site,0.1500,"{""Ames-2022"": 93.9005, ""Crawfordsville-2022"": 1093.5056, ""Lincoln-2022"": 92.1004}",-348.6488,0.0000,0.0000,0.0000,-327.6473,catboost,,,,,,,,,,,,,,,,
practice_3sites,False,site,records,0,Records only,False,random_forest,97.2231,102.5309,-2.0106,-35.6609,0.8724,1479,0.1538,-0.5658,97.2934,10.3125,3,0.6572,235.2638,0.2798,site,4.0600,"{""Ames-2022"": 89.6848, ""Crawfordsville-2022"": 111.8728, ""Lincoln-2022"": 90.3225}",-22.7625,0.0000,0.0000,0.0000,-1.7610,catboost,,,,,,,,,,,,,,,,
practice_3sites,False,site,records,0,Records only,False,hist_gradient_boosting,96.6153,101.6662,-1.9601,-37.3275,0.8670,1479,0.2925,-0.5178,96.7155,11.7030,3,0.6748,233.6225,0.3869,site,191.1600,"{""Ames-2022"": 89.9378, ""Crawfordsville-2022"": 113.1806, ""Lincoln-2022"": 87.0282}",-22.1547,0.0000,0.0000,0.0000,-1.1532,catboost,,,,,,,,,,,,,,,,
practice_3sites,False,site,records,0,Records only,False,catboost,95.4622,100.6342,-1.9003,-37.6967,0.8566,1479,0.1847,-0.5429,95.5761,10.8173,3,0.6944,238.4767,0.3631,site,1.6100,"{""Ames-2022"": 91.5696, ""Crawfordsville-2022"": 110.3653, ""Lincoln-2022"": 84.7934}",-21.0015,0.0000,0.0000,0.0000,0.0000,catboost,0.6836,238.9262,,,,,,,,,,,,,,
practice_3sites,False,site,tp1,1,+ TP1,True,ridge,159.5757,204.1090,-10.9309,-112.0691,1.4319,1479,0.4297,-0.7059,160.4992,125.1825,3,0.3949,385.3271,0.0000,site,0.4000,"{""Ames-2022"": 74.2344, ""Crawfordsville-2022"": 337.515, ""Lincoln-2022"": 69.7481}",-85.1151,1.0000,263.5337,62.2850,-64.1136,catboost,,,262.7800,264.3044,3.0000,3.0000,1.0000,2022-07-10,2022-07-15,2022-07-18,53.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
practice_3sites,False,site,tp1,1,+ TP1,True,random_forest,71.3654,76.8296,-0.6905,-17.5194,0.6404,1479,0.3317,-0.1830,71.2915,13.1010,3,0.6971,203.9035,0.1270,site,5.7200,"{""Ames-2022"": 82.2006, ""Crawfordsville-2022"": 52.8679, ""Lincoln-2022"": 78.8059}",3.0953,1.0000,25.8577,26.5963,24.0968,catboost,,,24.8713,26.8452,3.0000,3.0000,1.0000,2022-07-10,2022-07-15,2022-07-18,53.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
practice_3sites,False,site,tp1,1,+ TP1,True,hist_gradient_boosting,64.8033,72.3845,-0.5005,-8.1793,0.5815,1479,0.3034,0.0557,64.6349,19.1187,3,0.6572,185.3042,0.0317,site,791.6600,"{""Ames-2022"": 75.2515, ""Crawfordsville-2022"": 37.7917, ""Lincoln-2022"": 80.8616}",9.6574,1.0000,31.8120,32.9265,30.6589,catboost,,,30.6002,33.0016,3.0000,3.0000,1.0000,2022-07-10,2022-07-15,2022-07-18,53.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
practice_3sites,False,site,tp1,1,+ TP1,True,catboost,72.4184,77.4439,-0.7176,-16.2461,0.6498,1479,0.3415,-0.2443,72.3144,11.1627,3,0.7032,205.4124,0.1508,site,16.9000,"{""Ames-2022"": 77.9366, ""Crawfordsville-2022"": 56.7283, ""Lincoln-2022"": 82.2785}",2.0422,1.0000,23.0437,24.1391,23.0437,catboost,0.6423,197.9582,22.1235,23.9117,3.0000,3.0000,1.0000,2022-07-10,2022-07-15,2022-07-18,53.0000,57.0000,60.0000,92.0000,89.0000,assumed 10-15 each season
practice_3sites,False,site,tp2,2,+ TP1-TP2,True,ridge,162.8766,197.1987,-10.1367,-161.3378,1.4615,1479,0.3538,0.1057,162.7956,108.3255,3,0.6234,406.4739,0.0000,site,0.2200,"{""Ames-2022"": 30.5154, ""Crawfordsville-2022"": 295.8542, ""Lincoln-2022"": 162.017}",-88.4159,2.0000,260.2329,61.5049,-67.4144,catboost,,,258.4016,261.9688,2.0000,3.0000,1.0000,2022-07-20,2022-07-23,2022-08-06,61.0000,70.0000,76.0000,84.0000,70.0000,assumed 10-15 each season
