validation,stage,stage_order,stage_label,ranker,method,budget,recall,recall_unit_mean,precision,random_recall,oracle_recall,lift,skill,n_units,n_poor,n_selected,hits
site,records,0,Records only,forecast,forecast,0.1000,0.1423,0.1463,0.3568,0.1000,0.3989,1.4239,0.1417,5,534,213,76
site,records,0,Records only,forecast,forecast,0.2000,0.2397,0.2504,0.2998,0.2004,0.7996,1.1963,0.0656,5,534,427,128
site,records,0,Records only,forecast,forecast,0.2500,0.2884,0.2993,0.2889,0.2501,0.9981,1.1530,0.0512,5,534,533,154
site,records,0,Records only,lower_bound,lower_bound,0.1000,0.1404,0.1545,0.3521,0.1000,0.3989,1.4052,0.1355,5,534,213,75
site,records,0,Records only,lower_bound,lower_bound,0.2000,0.2566,0.2714,0.3208,0.2004,0.7996,1.2804,0.0937,5,534,427,137
site,records,0,Records only,lower_bound,lower_bound,0.2500,0.3052,0.3300,0.3058,0.2501,0.9981,1.2204,0.0737,5,534,533,163
site,records,0,Records only,relative_forecast,relative_forecast,0.1000,0.1536,0.1562,0.3850,0.1000,0.3989,1.5363,0.1793,5,534,213,82
site,records,0,Records only,relative_forecast,relative_forecast,0.2000,0.2772,0.2925,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,records,0,Records only,relative_forecast,relative_forecast,0.2500,0.3408,0.3574,0.3415,0.2501,0.9981,1.3627,0.1213,5,534,533,182
site,records,0,Records only,records_only,relative_forecast,0.1000,0.1536,0.1562,0.3850,0.1000,0.3989,1.5363,0.1793,5,534,213,82
site,records,0,Records only,records_only,relative_forecast,0.2000,0.2772,0.2925,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,records,0,Records only,records_only,relative_forecast,0.2500,0.3408,0.3574,0.3415,0.2501,0.9981,1.3627,0.1213,5,534,533,182
site,tp1,1,+ TP1,forecast,forecast,0.1000,0.2097,0.2146,0.5258,0.1000,0.3989,2.0984,0.3673,5,534,213,112
site,tp1,1,+ TP1,forecast,forecast,0.2000,0.3408,0.3411,0.4262,0.2004,0.7996,1.7009,0.2344,5,534,427,182
site,tp1,1,+ TP1,forecast,forecast,0.2500,0.3970,0.3962,0.3977,0.2501,0.9981,1.5873,0.1964,5,534,533,212
site,tp1,1,+ TP1,lower_bound,lower_bound,0.1000,0.1367,0.1316,0.3427,0.1000,0.3989,1.3677,0.1229,5,534,213,73
site,tp1,1,+ TP1,lower_bound,lower_bound,0.2000,0.2753,0.2647,0.3443,0.2004,0.7996,1.3738,0.1250,5,534,427,147
site,tp1,1,+ TP1,lower_bound,lower_bound,0.2500,0.3352,0.3228,0.3358,0.2501,0.9981,1.3402,0.1138,5,534,533,179
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.1000,0.1873,0.1919,0.4695,0.1000,0.3989,1.8735,0.2921,5,534,213,100
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.2000,0.3277,0.3394,0.4098,0.2004,0.7996,1.6355,0.2125,5,534,427,175
site,tp1,1,+ TP1,relative_forecast,relative_forecast,0.2500,0.3783,0.3831,0.3790,0.2501,0.9981,1.5124,0.1713,5,534,533,202
site,tp1,1,+ TP1,records_only,relative_forecast,0.1000,0.1536,0.1562,0.3850,0.1000,0.3989,1.5363,0.1793,5,534,213,82
site,tp1,1,+ TP1,records_only,relative_forecast,0.2000,0.2772,0.2925,0.3466,0.2004,0.7996,1.3832,0.1281,5,534,427,148
site,tp1,1,+ TP1,records_only,relative_forecast,0.2500,0.3408,0.3574,0.3415,0.2501,0.9981,1.3627,0.1213,5,534,533,182
site,tp1,1,+ TP1,naive_imagery,naive_imagery,0.1000,0.1798,0.1878,0.4507,0.1000,0.3989,1.7986,0.2670,5,534,213,96
site,tp1,1,+ TP1,naive_imagery,naive_imagery,0.2000,0.3034,0.3074,0.3794,0.2004,0.7996,1.5140,0.1719,5,534,427,162
