stage,stage_label,site_year,morans_i,expected_i,p_value,k,n,neighbour_distance_m
records,Records only,Ames-2022,0.4147,-0.0021,0.0020,8,487,2.9966
records,Records only,Crawfordsville-2022,0.2674,-0.0021,0.0020,8,488,2.9963
records,Records only,Lincoln-2022,0.3086,-0.0020,0.0020,8,504,3.0070
records,Records only,MOValley-2022,0.2662,-0.0062,0.0020,8,163,3.0096
records,Records only,Scottsbluff-2022,0.5873,-0.0020,0.0020,8,489,2.9963
tp1,+ TP1,Ames-2022,0.4123,-0.0021,0.0020,8,487,2.9966
tp1,+ TP1,Crawfordsville-2022,0.1007,-0.0021,0.0020,8,488,2.9963
tp1,+ TP1,Lincoln-2022,0.2972,-0.0020,0.0020,8,504,3.0070
tp1,+ TP1,MOValley-2022,0.2397,-0.0062,0.0020,8,163,3.0096
tp1,+ TP1,Scottsbluff-2022,0.5711,-0.0020,0.0020,8,489,2.9963
tp2,+ TP1-TP2,Ames-2022,0.5499,-0.0021,0.0020,8,487,2.9966
tp2,+ TP1-TP2,Crawfordsville-2022,0.2021,-0.0021,0.0020,8,488,2.9963
tp2,+ TP1-TP2,Lincoln-2022,0.2950,-0.0020,0.0020,8,504,3.0070
tp2,+ TP1-TP2,MOValley-2022,0.4220,-0.0062,0.0020,8,163,3.0096
tp2,+ TP1-TP2,Scottsbluff-2022,0.5466,-0.0020,0.0020,8,489,2.9963
tp3,+ TP1-TP3,Ames-2022,0.5174,-0.0021,0.0020,8,487,2.9966
tp3,+ TP1-TP3,Crawfordsville-2022,0.2006,-0.0021,0.0020,8,488,2.9963
tp3,+ TP1-TP3,Lincoln-2022,0.4095,-0.0020,0.0020,8,504,3.0070
tp3,+ TP1-TP3,MOValley-2022,0.2080,-0.0062,0.0020,8,163,3.0096
tp3,+ TP1-TP3,Scottsbluff-2022,0.5395,-0.0020,0.0020,8,489,2.9963
tp4,+ TP1-TP4,Ames-2022,0.4424,-0.0021,0.0020,8,487,2.9966
tp4,+ TP1-TP4,Crawfordsville-2022,0.1240,-0.0021,0.0020,8,488,2.9963
tp4,+ TP1-TP4,Lincoln-2022,0.3889,-0.0020,0.0020,8,504,3.0070
tp4,+ TP1-TP4,MOValley-2022,0.1544,-0.0062,0.0020,8,163,3.0096
tp4,+ TP1-TP4,Scottsbluff-2022,0.6371,-0.0020,0.0020,8,489,2.9963
tp5,+ TP1-TP5,Ames-2022,0.4405,-0.0021,0.0020,8,487,2.9966
tp5,+ TP1-TP5,Crawfordsville-2022,0.1010,-0.0021,0.0020,8,488,2.9963
tp5,+ TP1-TP5,Lincoln-2022,0.3322,-0.0020,0.0020,8,504,3.0070
tp5,+ TP1-TP5,MOValley-2022,0.1209,-0.0062,0.0040,8,163,3.0096
tp5,+ TP1-TP5,Scottsbluff-2022,0.6547,-0.0020,0.0020,8,489,2.9963
tp6,+ TP1-TP6,Ames-2022,0.3383,-0.0021,0.0020,8,487,2.9966
tp6,+ TP1-TP6,Crawfordsville-2022,0.1739,-0.0021,0.0020,8,488,2.9963
tp6,+ TP1-TP6,Lincoln-2022,0.3378,-0.0020,0.0020,8,504,3.0070
tp6,+ TP1-TP6,MOValley-2022,0.0801,-0.0062,0.0240,8,163,3.0096
tp6,+ TP1-TP6,Scottsbluff-2022,0.6711,-0.0020,0.0020,8,489,2.9963
