run_id,timestamp,git_sha,dataset,dataset_version,cutoff,as_of,model,feature_set,n_features,validation,train_groups,test_groups,mae,rmse,r2,relative_mae,mae_fold_std,interval_coverage,interval_lower,interval_upper,train_seconds,seed,params
20260924T234532787348-may-ridge-Management_only-site,2026-09-24T23:45:32+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,ridge,Management only,3,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,69.224,74.904,-7.0325,0.8971,15.817,0.902,-120.22,107.86,0.03,42,"{""alpha"": 1.0}"
20260924T234533290369-may-random_forest-Management_only-site,2026-09-24T23:45:33+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,random_forest,Management only,3,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,80.325,88.012,-8.9526,0.9794,11.305,0.902,-124.12,143.16,0.5,42,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.5}"
20260924T234535308718-may-hist_gradient_boosting-Management_only-site,2026-09-24T23:45:35+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,hist_gradient_boosting,Management only,3,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,83.219,90.718,-9.7386,1.0286,13.71,0.9014,-139.43,145.01,2.02,42,"{""learning_rate"": 0.05, ""max_iter"": 300}"
20260924T234535877498-may-catboost-Management_only-site,2026-09-24T23:45:35+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,catboost,Management only,3,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,81.439,88.76,-9.183,0.9981,12.816,0.9014,-129.09,143.51,0.57,42,"{""iterations"": 500, ""learning_rate"": 0.05, ""depth"": 6}"
20260924T234535902678-may-ridge-Crop_plus_timing-site,2026-09-24T23:45:35+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,ridge,Crop + timing,5,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,600.4,604.793,-2008.5363,4.3686,905.239,0.9014,-115.75,2169.91,0.02,42,"{""alpha"": 1.0}"
20260924T234536394893-may-random_forest-Crop_plus_timing-site,2026-09-24T23:45:36+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,random_forest,Crop + timing,5,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,73.909,79.9,-7.2281,0.9002,27.067,0.9014,-114.11,145.63,0.49,42,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.5}"
20260924T234538714580-may-hist_gradient_boosting-Crop_plus_timing-site,2026-09-24T23:45:38+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,hist_gradient_boosting,Crop + timing,5,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,71.244,77.481,-6.9057,0.8752,29.334,0.902,-113.33,145.06,2.32,42,"{""learning_rate"": 0.05, ""max_iter"": 300}"
20260924T234539248833-may-catboost-Crop_plus_timing-site,2026-09-24T23:45:39+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,catboost,Crop + timing,5,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,73.808,79.484,-7.3112,0.9167,28.577,0.902,-117.43,144.55,0.53,42,"{""iterations"": 500, ""learning_rate"": 0.05, ""depth"": 6}"
20260924T234540015843-may-ridge-Crop_plus_weather-site,2026-09-24T23:45:40+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,ridge,Crop + weather,28,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,433.731,438.103,-858.1111,3.8732,562.806,0.9087,0.0,1403.27,0.03,42,"{""alpha"": 1.0}"
20260924T234540548735-may-random_forest-Crop_plus_weather-site,2026-09-24T23:45:40+00:00,b890d82-dirty,shrestha2024,7ec6bfeebcbe,may,05-31,random_forest,Crop + weather,28,leave-one-site-out,Ames;Lincoln;MOValley;Scottsbluff,Ames;Lincoln;MOValley;Scottsbluff,67.699,73.244,-7.0089,0.8641,17.811,0.902,-116.54,101.57,0.53,42,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.5}"
