site,as_of,horizon,cases,seasons,mean_ess,rps,rps_clim,rpss,brier,brier_clim,bss,accuracy,accuracy_clim,crpss_precip_mm,crpss_gdd,crpss_kdd_29c,crpss_heat_days,crpss_water_deficit_mm
Ames,05-01,30,27,27,18.5,0.2153,0.2224,0.032,0.665,0.6677,0.004,0.444,0.333,-0.013,-0.068,-0.028,-0.016,-0.007
Ames,05-01,60,27,27,18.5,0.2401,0.2224,-0.079,0.6915,0.6677,-0.036,0.259,0.333,0.017,-0.049,-0.025,0.011,-0.016
Ames,05-01,90,27,27,18.5,0.2266,0.2224,-0.019,0.662,0.6677,0.009,0.444,0.333,0.016,-0.03,-0.048,-0.003,-0.033
Ames,05-01,season,27,27,18.5,0.2356,0.2281,-0.033,0.6727,0.6648,-0.012,0.333,0.352,-0.023,-0.062,-0.042,-0.041,-0.049
Ames,05-15,30,27,27,18.4,0.2524,0.2443,-0.033,0.6891,0.6696,-0.029,0.481,0.444,-0.041,-0.03,0.021,-0.042,-0.038
Ames,05-15,60,27,27,18.4,0.2265,0.2224,-0.019,0.6784,0.6677,-0.016,0.296,0.333,-0.025,-0.034,-0.03,-0.033,-0.022
Ames,05-15,90,27,27,18.4,0.2327,0.2224,-0.046,0.7093,0.6677,-0.062,0.296,0.333,-0.033,-0.013,-0.031,-0.059,-0.01
Ames,05-15,season,27,27,18.4,0.2346,0.2224,-0.055,0.6902,0.6677,-0.034,0.259,0.333,-0.052,-0.019,-0.048,-0.044,-0.041
Ames,06-01,30,27,27,19.0,0.2278,0.2224,-0.024,0.6542,0.6677,0.02,0.296,0.333,-0.009,-0.012,-0.023,-0.045,-0.003
Ames,06-01,60,27,27,19.0,0.2409,0.2224,-0.083,0.7187,0.6677,-0.076,0.148,0.333,-0.029,-0.037,-0.023,-0.042,-0.029
Ames,06-01,90,27,27,19.0,0.2296,0.2167,-0.06,0.7042,0.6705,-0.05,0.296,0.315,-0.01,-0.02,-0.047,-0.053,-0.024
Ames,06-01,season,27,27,19.0,0.2332,0.2224,-0.049,0.6999,0.6677,-0.048,0.259,0.333,-0.032,-0.021,-0.044,-0.036,-0.037
Ames,06-15,30,27,27,20.1,0.2136,0.211,-0.012,0.6735,0.6734,-0.0,0.333,0.296,-0.003,-0.031,-0.04,0.003,0.001
Ames,06-15,60,27,27,20.1,0.2327,0.2224,-0.046,0.7118,0.6677,-0.066,0.222,0.333,-0.022,-0.02,-0.019,-0.005,-0.024
Ames,06-15,90,27,27,20.1,0.2183,0.2224,0.018,0.6674,0.6677,0.0,0.333,0.333,-0.014,-0.018,-0.004,-0.016,-0.016
Ames,06-15,season,27,27,20.1,0.2309,0.2338,0.012,0.6573,0.662,0.007,0.444,0.37,-0.004,-0.028,-0.006,-0.016,-0.009
Ames,07-01,30,27,27,20.2,0.2372,0.2224,-0.067,0.7067,0.6677,-0.058,0.148,0.333,-0.034,-0.022,0.037,-0.038,-0.039
Ames,07-01,60,27,27,20.2,0.2322,0.2281,-0.018,0.6656,0.6648,-0.001,0.444,0.352,0.015,0.003,0.016,-0.032,0.011
Ames,07-01,90,27,27,20.2,0.2142,0.2167,0.011,0.6547,0.6705,0.024,0.407,0.315,0.027,0.047,0.021,-0.022,0.024
Ames,07-01,season,27,27,20.2,0.2097,0.211,0.006,0.6585,0.6734,0.022,0.444,0.296,0.034,0.009,0.025,-0.022,0.034
Ames,07-15,30,27,27,19.3,0.2333,0.2338,0.002,0.6673,0.662,-0.008,0.444,0.37,-0.018,0.017,0.066,0.038,-0.015
Ames,07-15,60,27,27,19.3,0.2172,0.2167,-0.002,0.6842,0.6705,-0.02,0.296,0.315,0.02,0.009,0.022,-0.021,0.031
Ames,07-15,90,27,27,19.3,0.2183,0.2167,-0.007,0.6854,0.6705,-0.022,0.333,0.315,0.0,0.031,0.032,-0.021,0.005
Ames,07-15,season,27,27,19.3,0.2183,0.2167,-0.007,0.6854,0.6705,-0.022,0.333,0.315,-0.004,0.02,0.032,-0.021,-0.001
Ames,08-01,30,27,27,18.6,0.2372,0.2224,-0.066,0.6979,0.6677,-0.045,0.185,0.333,0.005,-0.031,-0.038,-0.055,0.002
Ames,08-01,60,27,27,18.6,0.2239,0.2167,-0.033,0.6824,0.6705,-0.018,0.296,0.315,-0.003,0.06,-0.008,-0.036,-0.006
Ames,08-01,90,27,27,18.6,0.2227,0.2167,-0.028,0.682,0.6705,-0.017,0.333,0.315,-0.015,0.042,-0.01,-0.036,-0.013
Ames,08-01,season,27,27,18.6,0.2243,0.2167,-0.035,0.6863,0.6705,-0.024,0.333,0.315,-0.008,0.044,-0.008,-0.036,-0.008
Ames,08-15,30,27,27,17.1,0.2302,0.2167,-0.062,0.7161,0.6705,-0.068,0.111,0.315,-0.039,-0.04,-0.013,-0.049,-0.046
Ames,08-15,60,27,27,17.1,0.2482,0.2224,-0.116,0.7193,0.6677,-0.077,0.222,0.333,-0.059,-0.024,-0.028,-0.049,-0.065
Ames,08-15,90,27,27,17.1,0.252,0.2281,-0.105,0.7034,0.6648,-0.058,0.222,0.352,-0.088,0.015,-0.027,-0.049,-0.089
Ames,08-15,season,27,27,17.1,0.2467,0.2224,-0.109,0.7147,0.6677,-0.071,0.222,0.333,-0.058,-0.021,-0.028,-0.049,-0.064
Crawfordsville,05-01,30,31,31,20.3,0.2258,0.2186,-0.033,0.6855,0.6667,-0.028,0.258,0.333,-0.04,-0.038,0.003,0.019,-0.049
Crawfordsville,05-01,60,31,31,20.3,0.2051,0.2186,0.062,0.6644,0.6667,0.003,0.323,0.333,-0.034,-0.034,-0.022,0.055,-0.045
Crawfordsville,05-01,90,31,31,20.3,0.2235,0.2186,-0.022,0.6912,0.6667,-0.037,0.323,0.333,-0.05,-0.035,-0.041,-0.05,-0.052
Crawfordsville,05-01,season,31,31,20.3,0.2284,0.2186,-0.045,0.6932,0.6667,-0.04,0.258,0.333,-0.045,-0.043,-0.046,-0.04,-0.053
