season,tmax_c_complete,tmin_c_complete,precip_mm_complete,precip_total_mm,tmax_mean_c,tmin_mean_c,temp_days_filled,complete,precip_ratio_vs_USC00135796,tmax_diff_vs_USC00135796,tmin_diff_vs_USC00135796,precip_ratio_vs_USC00134101,tmax_diff_vs_USC00134101,tmin_diff_vs_USC00134101,precip_ratio_vs_isusm:CRFI4,tmax_diff_vs_isusm:CRFI4,tmin_diff_vs_isusm:CRFI4,neighbours_checked,neighbour_flags,included,reason
1994,1.0,1.0,1.0,615.0,23.39,11.28,0,True,1.21,0.57,0.78,0.99,-0.09,-0.44,,,,2,,True,
1995,1.0,1.0,1.0,797.2,22.18,10.7,0,True,0.91,,,1.05,-0.15,-0.38,,,,2,,True,
1996,1.0,1.0,1.0,675.9,21.61,10.16,2,True,1.05,0.26,0.27,0.96,0.08,-0.45,,,,2,,True,
1997,1.0,1.0,1.0,745.5,21.65,10.39,2,True,,,,1.23,0.02,-0.57,,,,1,,True,
1998,1.0,1.0,0.992,976.5,23.4,12.55,5,True,1.14,,,0.98,-0.21,-0.77,,,,2,,True,
1999,1.0,1.0,1.0,690.7,22.86,9.04,8,True,1.15,,,1.05,-1.19,-3.13,,,,2,mean tmin -3.1 C vs USC00134101 (usual -1.0 C),True,
2000,1.0,1.0,0.988,698.1,22.2,9.53,2,True,1.15,,,0.84,-0.64,-2.32,,,,2,mean tmin -2.3 C vs USC00134101 (usual -1.0 C),True,
2001,1.0,1.0,0.996,840.7,22.87,10.16,1,True,1.03,,,1.22,-0.72,-2.31,,,,2,mean tmin -2.3 C vs USC00134101 (usual -1.0 C),True,
2002,1.0,1.0,1.0,654.3,21.91,8.9,1,True,1.11,,,0.77,-0.86,-1.98,,,,2,,True,
2003,1.0,1.0,0.992,634.3,22.47,8.45,0,True,0.92,,,1.0,-0.77,-1.03,,,,2,,True,
2004,1.0,1.0,1.0,730.0,22.31,9.36,2,True,1.04,,,0.96,-0.96,-1.27,,,,2,,True,
2005,1.0,1.0,1.0,461.6,23.88,9.86,0,True,0.8,,,1.06,-1.0,-1.17,,,,2,,True,
2006,1.0,1.0,1.0,643.7,22.59,9.61,5,True,1.17,,,0.94,-1.13,-1.04,,,,2,,True,
2007,1.0,1.0,1.0,958.3,23.34,10.01,5,True,0.99,,,1.07,-1.32,-1.32,,,,2,,True,
2008,1.0,1.0,0.984,927.5,21.54,8.86,6,True,0.95,,,0.95,-1.53,-1.31,,,,2,,True,
2009,1.0,1.0,1.0,1068.3,21.12,8.89,3,True,1.04,,,1.17,-1.31,-1.49,,,,2,,True,
2010,1.0,1.0,0.984,1274.0,23.46,10.35,11,True,1.04,,,1.2,-1.55,-1.16,,,,2,,True,
2011,1.0,1.0,0.754,684.9,22.74,9.44,5,False,,,,,,,,,,0,,False,incomplete: precip_mm 75%
2012,0.975,0.975,1.0,668.2,24.31,9.8,6,True,1.12,0.44,0.92,1.19,-0.86,-0.51,,,,2,,True,
2013,1.0,1.0,1.0,737.0,22.12,8.89,20,True,1.07,0.02,0.16,0.92,-0.18,0.0,,,,2,,True,
2014,1.0,1.0,1.0,961.4,21.04,8.52,1,True,1.1,-0.13,0.33,0.92,0.26,0.02,1.26,-0.62,-0.64,3,,True,
2015,1.0,0.984,1.0,901.2,22.83,9.99,13,True,0.93,-0.05,-0.18,0.93,0.2,0.14,1.01,-0.57,-1.15,3,,True,
2016,0.984,0.988,1.0,665.5,23.96,11.01,3,True,0.95,0.6,0.57,0.87,0.55,0.24,1.07,-0.58,-0.75,3,,True,
2017,1.0,1.0,1.0,672.3,22.68,8.88,6,True,1.05,-0.57,0.0,0.98,0.42,-0.03,1.17,-0.77,-1.33,3,,True,
2018,1.0,0.988,1.0,966.8,21.49,9.19,10,True,,-0.6,0.03,0.91,0.13,0.28,1.32,-1.1,-0.93,3,,True,
2019,1.0,0.988,1.0,749.4,21.54,9.28,7,True,0.75,,,0.75,0.36,-0.12,1.01,-0.56,-1.22,3,,True,
2020,1.0,1.0,1.0,788.7,22.01,9.24,1,True,,,,1.07,-0.13,0.07,0.96,-0.77,-0.87,2,,True,
2021,1.0,1.0,0.988,744.5,23.05,10.41,13,True,0.92,0.45,-0.87,1.18,0.23,0.18,1.03,-0.57,-0.9,3,mean tmin -0.9 C vs USC00135796 (usual +0.2 C),True,
2022,1.0,1.0,1.0,488.2,22.6,9.01,1,True,,,,0.8,0.31,-0.09,1.08,-0.75,-0.7,2,,True,
2023,1.0,0.971,1.0,359.6,23.52,8.66,14,True,,,,0.91,-0.17,-0.29,0.99,-0.59,-1.34,2,,True,
2024,1.0,1.0,0.996,683.9,23.49,9.85,5,True,0.91,-0.02,-1.38,0.87,-0.33,-0.2,0.93,-0.85,-1.29,3,mean tmin -1.4 C vs USC00135796 (usual +0.2 C),True,
2025,1.0,1.0,0.996,673.7,23.53,10.25,3,True,1.01,0.16,-1.25,,0.04,0.7,1.21,-0.58,-0.94,3,mean tmin -1.2 C vs USC00135796 (usual +0.2 C),True,
