season,tmax_c_complete,tmin_c_complete,precip_mm_complete,precip_total_mm,tmax_mean_c,tmin_mean_c,temp_days_filled,complete,precip_ratio_vs_USW00014971,tmax_diff_vs_USW00014971,tmin_diff_vs_USW00014971,precip_ratio_vs_USC00252020,tmax_diff_vs_USC00252020,tmin_diff_vs_USC00252020,precip_ratio_vs_USC00257715,tmax_diff_vs_USC00257715,tmin_diff_vs_USC00257715,neighbours_checked,neighbour_flags,included,reason
1994,1.0,1.0,1.0,522.7,23.27,9.47,0,True,0.82,0.05,-0.79,,-0.22,-0.83,0.88,-1.19,-1.66,3,mean tmax -1.2 C vs USC00257715 (usual -0.0 C); mean tmin -1.7 C vs USC00257715 (usual -0.1 C),True,
1995,1.0,1.0,1.0,512.4,22.58,9.29,0,True,0.87,0.48,-0.31,,0.21,-0.06,1.14,,,3,,True,
1996,1.0,1.0,1.0,843.5,21.48,9.49,0,True,0.85,0.29,-0.02,,-0.13,-0.24,1.11,-1.2,-0.49,3,mean tmax -1.2 C vs USC00257715 (usual -0.0 C),True,
1997,1.0,1.0,1.0,553.7,22.5,9.21,0,True,,0.14,-0.63,0.89,0.0,-0.78,0.89,-0.61,-0.67,2,,True,
1998,1.0,1.0,1.0,734.5,24.07,11.62,0,True,,,,1.03,0.36,-0.52,1.09,-0.78,-0.42,2,,True,
1999,1.0,1.0,1.0,598.4,23.92,10.13,0,True,,,,,,,0.83,-0.93,-0.68,1,,True,
2000,1.0,1.0,1.0,508.9,24.16,10.03,0,True,,,,,,,1.07,-0.97,-0.74,1,,True,
2001,1.0,1.0,1.0,697.1,24.61,11.18,0,True,,,,,,,1.18,-0.01,0.29,1,,True,
2002,1.0,1.0,1.0,616.8,23.69,10.06,0,True,,,,,,,1.0,0.34,0.24,1,,True,
2003,1.0,1.0,1.0,577.4,23.61,9.44,0,True,,,,0.98,-0.75,-1.0,0.94,0.64,-0.06,2,,True,
2004,1.0,1.0,1.0,463.9,23.68,10.1,0,True,,,,0.92,-0.6,-0.96,0.95,0.47,0.35,2,,True,
2005,1.0,1.0,1.0,512.8,25.03,10.72,0,True,,,,1.27,-0.83,-1.44,1.15,0.44,-0.01,2,,True,
2006,1.0,1.0,1.0,447.8,24.19,10.35,0,True,,,,,,,0.76,0.43,0.43,1,,True,
2007,1.0,1.0,1.0,724.7,24.35,11.23,0,True,0.95,,,,,,0.98,0.49,0.48,2,,True,
2008,1.0,1.0,1.0,813.0,23.14,10.05,0,True,0.95,,,,0.39,-0.03,,,,2,,True,
2009,1.0,1.0,1.0,494.3,22.63,9.34,0,True,0.98,,,,-0.05,-0.55,0.98,0.94,0.54,3,,True,
2010,1.0,1.0,1.0,777.5,24.28,10.67,0,True,,,,1.07,-0.94,-1.02,1.22,0.43,0.44,2,mean tmax -0.9 C vs USC00252020 (usual +0.4 C),True,
2011,1.0,1.0,1.0,637.3,23.78,10.26,0,True,,,,,-0.44,-0.79,1.06,0.6,0.55,2,,True,
2012,1.0,1.0,1.0,368.4,25.74,9.78,0,True,,,,,,,0.94,1.25,0.36,1,,True,
2013,1.0,1.0,1.0,587.2,23.07,9.58,0,True,,,,,,,0.9,1.0,0.61,1,,True,
2014,1.0,1.0,1.0,826.5,23.69,10.07,0,True,,,,1.09,1.11,1.1,,2.23,1.93,2,mean tmin +1.1 C vs USC00252020 (usual +0.1 C); mean tmax +2.2 C vs USC00257715 (usual +0.9 C); mean tmin +1.9 C vs USC00257715 (usual +0.5 C),False,disagrees with every neighbour: mean tmin +1.1 C vs USC00252020 (usual +0.1 C) | mean tmax +2.2 C vs USC00257715 (usual +0.9 C); mean tmin +1.9 C vs USC00257715 (usual +0.5 C)
2015,1.0,1.0,1.0,867.4,24.23,11.58,0,True,,,,0.88,0.76,0.08,1.02,1.59,1.2,2,,True,
2016,1.0,1.0,1.0,629.3,25.35,12.04,0,True,,,,0.88,0.76,0.22,,2.12,1.46,2,mean tmax +2.1 C vs USC00257715 (usual +0.9 C),True,
2017,1.0,1.0,1.0,848.3,24.3,10.8,0,True,,,,1.17,1.03,0.34,1.11,2.01,1.42,2,mean tmax +2.0 C vs USC00257715 (usual +0.9 C),True,
2018,1.0,1.0,1.0,723.5,23.26,10.14,0,True,,,,0.93,1.02,0.23,,,,1,,True,
2019,1.0,1.0,1.0,725.2,23.23,10.72,0,True,,,,0.8,0.94,0.64,0.95,,,2,,True,
2020,1.0,1.0,1.0,491.8,23.84,9.93,0,True,,,,0.75,0.83,-0.14,0.8,,,2,,True,
2021,1.0,1.0,1.0,484.0,25.15,11.34,0,True,,,,0.9,0.91,0.26,0.93,,,2,,True,
2022,1.0,1.0,1.0,433.0,25.18,10.13,0,True,,,,1.19,0.56,-0.17,1.15,0.46,0.88,2,,True,
2023,1.0,1.0,1.0,447.1,25.77,10.72,0,True,,,,,0.69,-0.01,1.19,0.33,0.93,2,,True,
2024,1.0,1.0,1.0,643.9,25.93,11.24,0,True,,,,1.33,0.52,-0.11,1.12,0.61,0.91,2,,True,
2025,1.0,1.0,1.0,582.0,24.53,11.32,0,True,,,,0.95,0.65,-0.05,0.96,0.25,0.91,2,,True,
