season,tmax_c_complete,tmin_c_complete,precip_mm_complete,precip_total_mm,tmax_mean_c,tmin_mean_c,temp_days_filled,complete,precip_ratio_vs_USC00255555,tmax_diff_vs_USC00255555,tmin_diff_vs_USC00255555,precip_ratio_vs_USC00257667,tmax_diff_vs_USC00257667,tmin_diff_vs_USC00257667,neighbours_checked,neighbour_flags,included,reason
1994,1.0,1.0,1.0,328.7,23.65,6.92,0,True,,,,,,,0,,True,
1995,1.0,1.0,1.0,360.9,21.3,5.49,0,True,,,,,,,0,,True,
1996,1.0,1.0,1.0,367.4,21.9,5.89,0,True,,,,,,,0,,True,
1997,1.0,1.0,1.0,488.7,21.48,5.81,0,True,,,,,,,0,,True,
1998,1.0,1.0,1.0,362.2,23.13,6.84,0,True,,,,,,,0,,True,
1999,1.0,1.0,1.0,391.0,23.15,5.87,0,True,,,,,,,0,,True,
2000,1.0,1.0,1.0,308.6,23.43,5.73,0,True,,,,,,,0,,True,
2001,1.0,1.0,1.0,306.2,23.76,6.66,0,True,,,,,,,0,,True,
2002,1.0,1.0,1.0,178.6,23.17,5.99,0,True,,,,0.86,0.02,0.68,1,,True,
2003,1.0,1.0,1.0,187.2,23.45,6.17,0,True,,,,,,,0,,True,
2004,1.0,1.0,1.0,279.9,22.28,5.61,0,True,,,,0.96,-0.11,-1.05,1,mean tmin -1.0 C vs USC00257667 (usual -0.0 C),False,disagrees with every neighbour: mean tmin -1.0 C vs USC00257667 (usual -0.0 C)
2005,1.0,1.0,1.0,441.5,23.3,5.85,0,True,,,,1.16,-0.1,-0.76,1,,True,
2006,1.0,1.0,1.0,207.5,23.93,5.91,0,True,,,,1.02,0.84,-0.48,1,,True,
2007,1.0,1.0,1.0,151.2,24.41,6.92,0,True,,,,0.9,0.14,-0.96,1,,True,
2008,1.0,1.0,1.0,327.7,22.68,5.51,0,True,,,,1.16,0.05,-0.81,1,,True,
2009,1.0,1.0,1.0,441.9,21.64,5.94,0,True,,,,,,,0,,True,
2010,1.0,1.0,1.0,348.7,23.41,6.73,0,True,,,,0.98,0.74,-0.07,1,,True,
2011,1.0,1.0,1.0,419.5,23.44,6.62,0,True,,,,0.96,0.97,0.04,1,,True,
2012,1.0,1.0,1.0,151.2,26.14,7.49,0,True,0.91,1.44,-1.06,1.01,0.97,0.12,2,,True,
2013,1.0,1.0,1.0,305.1,23.16,6.74,0,True,1.19,1.29,-0.55,0.89,0.93,0.16,2,,True,
2014,1.0,1.0,1.0,390.3,23.45,5.96,0,True,0.98,1.35,-0.96,0.98,0.98,-0.01,2,,True,
2015,1.0,1.0,1.0,552.8,23.12,7.32,0,True,1.0,1.09,-0.82,1.05,0.77,0.26,2,,True,
2016,1.0,1.0,1.0,301.1,24.77,7.19,0,True,0.82,1.39,-1.06,0.99,0.89,-0.06,2,,True,
2017,1.0,1.0,1.0,276.5,24.03,6.77,0,True,,,,0.82,1.25,0.08,1,,True,
2018,1.0,1.0,1.0,424.7,23.22,6.54,0,True,,,,0.86,1.24,0.26,1,,True,
2019,1.0,1.0,1.0,416.5,22.16,5.83,0,True,1.14,1.55,-0.62,0.9,1.96,1.2,2,mean tmin +1.2 C vs USC00257667 (usual -0.1 C),True,
2020,1.0,1.0,1.0,176.9,25.11,5.92,0,True,1.0,1.81,-1.21,1.06,1.34,-0.32,2,,True,
2021,1.0,1.0,1.0,199.1,25.42,7.32,0,True,1.04,1.61,-0.94,0.86,1.4,-0.44,2,,True,
2022,1.0,1.0,1.0,183.8,24.87,6.47,0,True,0.8,1.64,-0.71,1.05,1.26,-0.56,2,,True,
2023,1.0,1.0,1.0,503.0,24.01,7.0,0,True,,,,1.04,0.97,-0.3,1,,True,
2024,1.0,1.0,1.0,228.3,25.67,7.47,0,True,,,,0.96,0.95,-0.28,1,,True,
2025,1.0,1.0,1.0,376.9,24.3,7.11,0,True,1.33,0.2,-1.72,0.99,0.28,-0.73,2,mean tmax +0.2 C vs USC00255555 (usual +1.4 C),True,
