site,season,as_of,horizon,n_seasons,ess,bandwidth,method,categories_available,observed,p_adverse,p_typical,p_favorable,c_adverse,c_typical,c_favorable,rps,rps_clim,brier,brier_clim,hit,hit_clim,crps_precip_mm,crps_clim_precip_mm,crps_gdd,crps_clim_gdd,crps_kdd_29c,crps_clim_kdd_29c,crps_heat_days,crps_clim_heat_days,crps_water_deficit_mm,crps_clim_water_deficit_mm
Ames,2018,05-01,30,5,2.498129015646979,1.953125,historical_analogs,True,0,0.11876325278472506,0.16392514191971644,0.7173116052955585,0.4,0.2,0.4,0.6455570718671246,0.25999999999999995,1.3179855958876485,0.56,0.0,0.5,60.77162634800322,41.494399999999985,109.31625791035148,120.9920399999999,6.371670588173026,7.642472975613787,2.0,2.0,27.46846251700608,18.138762378647442
Ames,2018,05-01,60,5,2.498129015646979,1.953125,historical_analogs,True,2,0.16988779012698796,0.11280060457745356,0.7173116052955585,0.4,0.2,0.4,0.05438729486740281,0.26000000000000006,0.12149856612784465,0.56,1.0,0.5,37.53450066480979,102.26120000000003,135.54611750195454,143.30231999999978,6.759885377896074,8.204921680162354,1.3329353700953184,1.7200000000000002,65.71320706978086,127.63080882708601
Ames,2018,05-01,90,5,2.498129015646979,1.953125,historical_analogs,True,1,0.16988779012698796,0.5860328358279427,0.24407937404506932,0.4,0.2,0.4,0.04421830103423218,0.15999999999999998,0.2598054150811194,0.9600000000000002,1.0,0.0,78.82508589186546,134.912,118.88631802475416,145.0803599999999,5.513338022938021,6.239386214700866,1.253613034346039,1.52,90.68291338200748,145.97308804291836
Ames,2018,05-01,season,5,2.498129015646979,1.953125,historical_analogs,True,2,0.7499579777476592,0.0059626482072715125,0.24407937404506932,0.4,0.2,0.4,0.5669264805657264,0.26000000000000006,1.1338885143050965,0.56,0.0,0.5,373.3517499331376,393.79,46.743013262143464,47.82708000000004,2.7146532853741836,2.6989746667122425,0.6517096338518725,0.7199999999999998,419.6672206826921,442.0200660602087
Ames,2018,05-15,30,5,4.559866828042216,1.0,historical_analogs,True,2,0.3656725208366768,0.17625670671810661,0.4580707724452166,0.4,0.2,0.4,0.213701840086587,0.26000000000000006,0.45847010683628664,0.56,1.0,0.5,59.2358923664146,71.86840000000004,113.44933413551468,107.88912000000016,7.434818675187162,7.078418305944108,2.274134098732364,2.36,69.65483704180204,85.93448649184093
Ames,2018,05-15,60,5,4.559866828042216,1.0,historical_analogs,True,2,0.31756683213572234,0.3167606470276009,0.3656725208366768,0.4,0.2,0.4,0.25161002184720715,0.26000000000000006,0.6035573511997586,0.56,1.0,0.5,152.44616781883778,167.65480000000002,138.30144395154684,134.75304000000003,11.364927590954439,11.423521982513396,1.5482681974647279,1.7200000000000002,141.88702590363934,161.6703721131458
Ames,2018,05-15,90,5,4.559866828042216,1.0,historical_analogs,True,2,0.4580707724452166,0.15966118427897097,0.38226804327581243,0.4,0.2,0.4,0.2957108014634255,0.26000000000000006,0.6169132966922145,0.56,0.0,0.5,175.6161704594108,186.89480000000003,115.23088553225588,117.71567999999988,5.631339262143139,6.412789385357465,0.942136112560569,1.1999999999999997,158.901641621334,172.09822376242855
Ames,2018,05-15,season,5,4.559866828042216,1.0,historical_analogs,True,2,0.4580707724452166,0.15966118427897097,0.38226804327581243,0.4,0.2,0.4,0.2957108014634255,0.26000000000000006,0.6169132966922145,0.56,0.0,0.5,409.9613722411294,416.78600000000006,39.13190233607019,43.669799999999775,3.526586417096266,3.331427680540381,0.6904919921699213,0.7199999999999998,432.29233540031686,442.02006606020876
Ames,2018,06-01,30,5,2.7771502077389925,1.25,historical_analogs,True,2,0.2986737627227165,0.5239921637658854,0.17733407351139802,0.4,0.2,0.4,0.3829926215721477,0.26000000000000006,1.04055303083235,0.56,0.0,0.5,203.75853360932817,189.52239999999992,14.726372444473501,13.23467999999999,1.8187898159503577,1.6465702196666956,0.31290047687722283,0.31999999999999995,205.72869613256898,189.31432238478328
Ames,2018,06-01,60,5,2.7771502077389925,1.25,historical_analogs,True,1,0.2986737627227165,0.15781751044845935,0.5435087268288241,0.4,0.2,0.4,0.19230387633901747,0.15999999999999998,1.0938790983852658,0.9600000000000002,0.0,0.0,238.14105946796334,214.756,23.00827692290506,16.389360000000064,2.360312127661654,1.2611137632997913,1.0019857954435658,0.5199999999999999,231.56612738537146,207.51443421833096
Ames,2018,06-01,90,5,2.7771502077389925,1.25,historical_analogs,True,2,0.2986737627227165,0.15781751044845935,0.5435087268288241,0.4,0.2,0.4,0.14879514951019335,0.26000000000000006,0.32249666562453627,0.56,1.0,0.5,302.48653529173146,296.5107999999999,18.33130659493141,21.123360000000076,2.860942784208558,3.4809498361963755,2.852424403920367,1.6,299.5934148736886,292.5857638774958
Ames,2018,06-01,season,5,2.7771502077389925,1.25,historical_analogs,True,2,0.2986737627227165,0.15781751044845935,0.5435087268288241,0.4,0.2,0.4,0.14879514951019335,0.26000000000000006,0.32249666562453627,0.56,1.0,0.5,495.6853390176872,475.35640000000006,63.10005977357129,34.89660000000006,6.016068341980675,4.188338413475089,3.6761277669845303,1.7199999999999998,510.9828544225359,487.79761148120286
Ames,2018,06-15,30,5,4.349124809764805,1.0,historical_analogs,True,1,0.4106238087156468,0.16895549963899156,0.42042069164536167,0.4,0.2,0.4,0.17268273512385418,0.15999999999999998,1.0360004318279865,0.9600000000000002,0.0,0.0,100.01505641435294,99.5224,16.6605499660129,18.327240000000025,4.101800705245462,3.7906669886577635,0.1339193808795559,0.15999999999999998,93.94812374140668,92.93214675993768
Ames,2018,06-15,60,5,4.349124809764805,1.0,historical_analogs,True,2,0.4933331492657983,0.19699447082084592,0.3096723799133558,0.4,0.2,0.4,0.3599649096095003,0.26000000000000006,0.7587366407529856,0.56,0.0,0.5,104.84611560481628,100.09039999999995,11.214074004649142,14.99184000000005,1.481030080329167,1.3683915420292991,0.40445621656937303,0.43999999999999995,92.44458817775204,87.84819042832795
Ames,2018,06-15,90,5,4.349124809764805,1.0,historical_analogs,True,2,0.4933331492657983,0.08624615908884008,0.42042069164536167,0.4,0.2,0.4,0.2896448854186757,0.26000000000000006,0.5867281707949289,0.56,0.0,0.5,272.5536221597783,261.09959999999995,24.49108535213486,23.593679999999967,5.793080406066906,4.516797221719422,1.7023305955537644,1.3200000000000003,280.1955089221252,266.9502367991277
Ames,2018,06-15,season,5,4.349124809764805,1.0,historical_analogs,True,2,0.4933331492657983,0.19699447082084592,0.3096723799133558,0.4,0.2,0.4,0.3599649096095003,0.26000000000000006,0.7587366407529856,0.56,0.0,0.5,350.36618674313024,326.36879999999985,40.93844115650248,40.973399999999955,3.9278697310695403,3.2455082543800065,1.7023305955537644,1.3200000000000003,366.8516803210436,340.56816232631274
Ames,2018,07-01,30,5,2.7906088359467516,3.814697265625,historical_analogs,True,0,0.6509442362543992,0.09963331287783946,0.24942245086776121,0.4,0.2,0.4,0.09202574260045272,0.25999999999999995,0.19397828223591884,0.56,1.0,0.5,27.30011257981093,21.088,14.76022004848741,10.055880000000005,0.8475069277553886,0.9863614965004529,0.013559336674960482,0.03999999999999998,22.052533250107214,17.188714590674934
Ames,2018,07-01,60,5,2.7906088359467516,3.814697265625,historical_analogs,True,2,0.6509442362543992,0.13297788605273644,0.2160778776928642,0.4,0.2,0.4,0.5191311462776734,0.26000000000000006,1.0559454107344015,0.56,0.0,0.5,105.47543883939458,94.40920000000001,15.832360393944825,8.143560000000004,3.939437886112854,3.7722387595023705,1.204889817363457,0.8,101.67901972408568,92.42491104193026
Ames,2018,07-01,90,5,2.7906088359467516,3.814697265625,historical_analogs,True,2,0.6509442362543992,0.13297788605273644,0.2160778776928642,0.4,0.2,0.4,0.5191311462776734,0.26000000000000006,1.0559454107344015,0.56,0.0,0.5,243.84280697920013,228.07160000000002,11.656844262116767,12.175560000000011,2.983297782035632,3.777929446416458,1.2455678273883386,0.9199999999999999,247.5301998728892,234.4245408076332
Ames,2018,07-01,season,5,2.7906088359467516,3.814697265625,historical_analogs,True,2,0.6509442362543992,0.13297788605273644,0.2160778776928642,0.4,0.2,0.4,0.5191311462776734,0.26000000000000006,1.0559454107344015,0.56,0.0,0.5,291.8129732483699,259.93159999999995,64.12750506435916,46.959839999999886,2.9180211100567304,3.8976206310621384,1.2455678273883386,0.9199999999999999,303.03338536008187,273.01452821572826
