site,as_of,horizon,cases,seasons,mean_ess,rps,rps_clim,rpss,brier,brier_clim,bss,accuracy,accuracy_clim,crpss_precip_mm,crpss_gdd,crpss_kdd_29c,crpss_heat_days,crpss_water_deficit_mm
Ames,05-01,30,6,6,3.3,0.3237,0.2267,-0.428,0.8262,0.6933,-0.192,0.167,0.333,-0.244,0.009,0.242,-0.087,-0.198
Ames,05-01,60,6,6,3.3,0.1953,0.2267,0.138,0.6701,0.6933,0.033,0.5,0.333,0.424,-0.054,0.096,0.125,0.368
Ames,05-01,90,6,6,3.3,0.2379,0.2267,-0.05,0.545,0.6933,0.214,0.333,0.333,0.313,0.119,0.012,0.038,0.297
Ames,05-01,season,6,6,3.3,0.3459,0.2267,-0.526,0.9265,0.6933,-0.336,0.167,0.333,0.001,-0.092,-0.06,-0.053,0.016
Ames,05-15,30,6,6,3.3,0.2699,0.2267,-0.191,0.9405,0.6933,-0.356,0.333,0.333,0.19,-0.107,-0.258,-0.175,0.165
Ames,05-15,60,6,6,3.3,0.1768,0.2267,0.22,0.715,0.6933,-0.031,0.667,0.333,0.133,-0.215,-0.217,-0.232,0.149
Ames,05-15,90,6,6,3.3,0.2626,0.2267,-0.159,0.794,0.6933,-0.145,0.0,0.333,0.048,-0.201,-0.197,0.086,0.087
Ames,05-15,season,6,6,3.3,0.2626,0.2267,-0.159,0.794,0.6933,-0.145,0.0,0.333,-0.073,-0.021,-0.277,0.132,-0.028
Ames,06-01,30,6,6,3.2,0.1792,0.2267,0.209,0.4674,0.6933,0.326,0.667,0.333,-0.249,-0.121,-0.292,-0.378,-0.211
Ames,06-01,60,6,6,3.2,0.233,0.2267,-0.028,0.7929,0.6933,-0.144,0.5,0.333,-0.153,-0.306,-0.222,-0.45,-0.099
Ames,06-01,90,6,6,3.2,0.2276,0.2267,-0.004,0.8547,0.6933,-0.233,0.5,0.333,-0.174,-0.216,-0.074,-0.487,-0.116
Ames,06-01,season,6,6,3.2,0.2276,0.2267,-0.004,0.8547,0.6933,-0.233,0.5,0.333,-0.039,-0.216,-0.172,-0.396,-0.036
Ames,06-15,30,6,6,3.4,0.1609,0.2267,0.29,0.5741,0.6933,0.172,0.5,0.333,0.087,-0.015,-0.096,-0.456,0.049
Ames,06-15,60,6,6,3.4,0.2455,0.2267,-0.083,0.8125,0.6933,-0.172,0.333,0.333,-0.107,-0.11,-0.216,-0.155,-0.127
Ames,06-15,90,6,6,3.4,0.2338,0.2267,-0.031,0.7838,0.6933,-0.13,0.333,0.333,-0.03,-0.31,-0.266,-0.281,-0.028
Ames,06-15,season,6,6,3.4,0.2455,0.2267,-0.083,0.8125,0.6933,-0.172,0.333,0.333,-0.074,-0.221,-0.164,-0.281,-0.086
Ames,07-01,30,6,6,3.3,0.0964,0.2433,0.604,0.2538,0.6267,0.595,1.0,0.417,-0.327,-0.274,-0.047,-0.198,-0.263
Ames,07-01,60,6,6,3.3,0.3569,0.2267,-0.574,1.0336,0.6933,-0.491,0.167,0.333,-0.227,-0.0,-0.01,-0.392,-0.224
Ames,07-01,90,6,6,3.3,0.3569,0.2267,-0.574,1.0336,0.6933,-0.491,0.167,0.333,-0.222,-0.068,0.042,-0.325,-0.195
Ames,07-01,season,6,6,3.3,0.3569,0.2267,-0.574,1.0336,0.6933,-0.491,0.167,0.333,-0.264,-0.251,0.019,-0.325,-0.244
Ames,07-15,30,6,6,3.0,0.1909,0.2267,0.158,0.4894,0.6933,0.294,0.667,0.333,-0.022,-0.178,-0.108,-0.315,-0.08
Ames,07-15,60,6,6,3.0,0.2621,0.2433,-0.077,0.6791,0.6267,-0.084,0.5,0.417,-0.003,-0.119,-0.063,-0.247,0.009
