site,season,tmax_file_minus_noaa_c,tmin_file_minus_noaa_c,heat_days_file,heat_days_noaa,precip_ratio_file_to_noaa
Ames,2018,0.0,0.03,3,3,0.966
Ames,2019,-0.04,0.0,0,0,0.995
Ames,2020,-0.45,0.57,2,2,0.944
Ames,2021,-0.39,0.6,2,3,0.999
Ames,2022,-0.39,0.5,4,5,0.999
Ames,2023,-0.51,0.48,7,7,0.999
Lincoln,2018,0.05,0.01,19,18,0.934
Lincoln,2019,0.0,-0.01,8,8,1.001
Lincoln,2020,-0.33,0.59,6,8,0.991
Lincoln,2021,-0.41,0.53,16,18,1.0
Lincoln,2022,-0.37,0.68,25,28,0.998
Lincoln,2023,-0.44,0.64,17,20,0.999
MOValley,2018,-0.0,0.01,11,11,1.04
MOValley,2019,-0.0,-0.02,5,5,1.0
MOValley,2020,-0.39,0.41,12,14,1.002
MOValley,2021,-0.36,0.47,7,9,0.999
MOValley,2022,-0.41,0.58,17,21,1.001
MOValley,2023,-0.41,0.51,15,16,0.999
Scottsbluff,2018,0.0,0.02,19,19,0.948
Scottsbluff,2019,-0.0,-0.02,14,14,0.993
Scottsbluff,2020,-0.55,0.57,38,48,0.994
Scottsbluff,2021,-0.59,0.47,39,45,0.997
Scottsbluff,2022,-0.53,0.54,41,47,0.998
Scottsbluff,2023,-0.42,0.44,19,21,0.998
